sampleTime, isHotThroughputUtilization
+1.9675e+07ns, 1
+1.97e+07ns, 1
+1.9725e+07ns, 1
+1.975e+07ns, 1
+1.9775e+07ns, 1
+1.98e+07ns, 1
+1.9825e+07ns, 1
+1.985e+07ns, 1
+1.9875e+07ns, 1
+1.99e+07ns, 1
+1.9925e+07ns, 1
+1.995e+07ns, 1
+1.9975e+07ns, 1
+2e+07ns, 1
+2.0025e+07ns, 1
+2.005e+07ns, 1
+2.0075e+07ns, 1
+2.01e+07ns, 1
+2.0125e+07ns, 1
+2.015e+07ns, 1
+2.0175e+07ns, 1
+2.02e+07ns, 1
+2.0225e+07ns, 1
+2.025e+07ns, 1
+2.0275e+07ns, 1
+2.03e+07ns, 1
+2.0325e+07ns, 1
+2.035e+07ns, 1
+2.0375e+07ns, 1
+2.04e+07ns, 1
+2.0425e+07ns, 1
+2.045e+07ns, 1
+2.0475e+07ns, 1
+2.05e+07ns, 1
+2.0525e+07ns, 1
+2.055e+07ns, 1
+2.0575e+07ns, 1
+2.06e+07ns, 1
+2.0625e+07ns, 0
+2.065e+07ns, 1
+2.0675e+07ns, 1
+2.07e+07ns, 1
+2.0725e+07ns, 1
+2.075e+07ns, 1
+2.0775e+07ns, 1
+2.08e+07ns, 0
+2.0825e+07ns, 0
+2.085e+07ns, 1
+2.0875e+07ns, 1
+2.09e+07ns, 1
+2.0925e+07ns, 1
+2.095e+07ns, 0
+2.0975e+07ns, 1
+2.1e+07ns, 1
+2.1025e+07ns, 1
+2.105e+07ns, 0
+2.1075e+07ns, 1
+2.11e+07ns, 0
+2.1125e+07ns, 1
+2.115e+07ns, 1
+2.1175e+07ns, 1
+2.12e+07ns, 1
+2.1225e+07ns, 1
+2.125e+07ns, 1
+2.1275e+07ns, 0
+2.13e+07ns, 1
+2.1325e+07ns, 1
+2.135e+07ns, 1
+2.1375e+07ns, 1
+2.14e+07ns, 1
+2.1425e+07ns, 1
+2.145e+07ns, 0
+2.1475e+07ns, 1
+2.15e+07ns, 1
+2.1525e+07ns, 1
+2.155e+07ns, 1
+2.1575e+07ns, 1
+2.16e+07ns, 1
+2.1625e+07ns, 1
+2.165e+07ns, 1
+2.1675e+07ns, 1
+2.17e+07ns, 1
+2.1725e+07ns, 1
+2.175e+07ns, 1
+2.1775e+07ns, 1
+2.18e+07ns, 1
+2.1825e+07ns, 0
+2.185e+07ns, 1
+2.1875e+07ns, 1
+2.19e+07ns, 1
+2.1925e+07ns, 1
+2.195e+07ns, 0
+2.1975e+07ns, 0
+2.2e+07ns, 1
+2.2025e+07ns, 1
+2.205e+07ns, 1
+2.2075e+07ns, 1
+2.21e+07ns, 1
+2.2125e+07ns, 1
+2.215e+07ns, 1
+2.2175e+07ns, 1
+2.22e+07ns, 1
+2.2225e+07ns, 1
+2.225e+07ns, 1
+2.2275e+07ns, 1
+2.23e+07ns, 1
+2.2325e+07ns, 1
+2.235e+07ns, 1
+2.2375e+07ns, 1
+2.24e+07ns, 1
+2.2425e+07ns, 1
+2.245e+07ns, 1
+2.2475e+07ns, 1
+2.25e+07ns, 1
+2.2525e+07ns, 1
+2.255e+07ns, 1
+2.2575e+07ns, 1
+2.26e+07ns, 1
+2.2625e+07ns, 1
+2.265e+07ns, 1
+2.2675e+07ns, 0
+2.27e+07ns, 1
+2.2725e+07ns, 1
+2.275e+07ns, 1
+2.2775e+07ns, 1
+2.28e+07ns, 1
+2.2825e+07ns, 1
+2.285e+07ns, 1
+2.2875e+07ns, 1
+2.29e+07ns, 1
+2.2925e+07ns, 1
+2.295e+07ns, 1
+2.2975e+07ns, 1
+2.3e+07ns, 1
+2.3025e+07ns, 1
+2.305e+07ns, 1
+2.3075e+07ns, 1
+2.31e+07ns, 1
+2.3125e+07ns, 1
+2.315e+07ns, 1
+2.3175e+07ns, 1
+2.32e+07ns, 1
+2.3225e+07ns, 1
+2.325e+07ns, 0
+2.3275e+07ns, 1
+2.33e+07ns, 1
+2.3325e+07ns, 1
+2.335e+07ns, 1
+2.3375e+07ns, 0
+2.34e+07ns, 1
+2.3425e+07ns, 1
+2.345e+07ns, 1
+2.3475e+07ns, 1
+2.35e+07ns, 1
+2.3525e+07ns, 1
+2.355e+07ns, 1
+2.3575e+07ns, 1
+2.36e+07ns, 1
+2.3625e+07ns, 1
+2.365e+07ns, 1
+2.3675e+07ns, 1
+2.37e+07ns, 1
+2.3725e+07ns, 1
+2.375e+07ns, 1
+2.3775e+07ns, 1
+2.38e+07ns, 1
+2.3825e+07ns, 1
+2.385e+07ns, 1
+2.3875e+07ns, 1
+2.39e+07ns, 1
+2.3925e+07ns, 1
+2.395e+07ns, 1
+2.3975e+07ns, 1
+2.4e+07ns, 1
+2.4025e+07ns, 1
+2.405e+07ns, 1
+2.4075e+07ns, 1
+2.41e+07ns, 1
+2.4125e+07ns, 1
+2.415e+07ns, 1
+2.4175e+07ns, 1
+2.42e+07ns, 1
+2.4225e+07ns, 1
+2.425e+07ns, 1
+2.4275e+07ns, 1
+2.43e+07ns, 1
+2.4325e+07ns, 1
+2.435e+07ns, 0
+2.4375e+07ns, 1
+2.44e+07ns, 1
+2.4425e+07ns, 1
+2.445e+07ns, 1
+2.4475e+07ns, 0
+2.45e+07ns, 1
+2.4525e+07ns, 1
+2.455e+07ns, 1
+2.4575e+07ns, 1
+2.46e+07ns, 1
+2.4625e+07ns, 1
+2.465e+07ns, 1
+2.4675e+07ns, 1
+2.47e+07ns, 1
+2.4725e+07ns, 1
+2.475e+07ns, 1
+2.4775e+07ns, 1
+2.48e+07ns, 1
+2.4825e+07ns, 1
+2.485e+07ns, 1
+2.4875e+07ns, 1
+2.49e+07ns, 1
+2.4925e+07ns, 1
+2.495e+07ns, 1
+2.4975e+07ns, 1
+2.5e+07ns, 1
+2.5025e+07ns, 1
+2.505e+07ns, 1
+2.5075e+07ns, 1
+2.51e+07ns, 1
+2.5125e+07ns, 1
+2.515e+07ns, 1
+2.5175e+07ns, 1
+2.52e+07ns, 1
+2.5225e+07ns, 1
+2.525e+07ns, 1
+2.5275e+07ns, 1
+2.53e+07ns, 1
+2.5325e+07ns, 1
+2.535e+07ns, 1
+2.5375e+07ns, 1
+2.54e+07ns, 1
+2.5425e+07ns, 1
+2.545e+07ns, 1
+2.5475e+07ns, 1
+2.55e+07ns, 1
+2.5525e+07ns, 1
+2.555e+07ns, 1
+2.5575e+07ns, 1
+2.56e+07ns, 1
+2.5625e+07ns, 1
+2.565e+07ns, 1
+2.5675e+07ns, 1
+2.57e+07ns, 1
+2.5725e+07ns, 1
+2.575e+07ns, 1
+2.5775e+07ns, 1
+2.58e+07ns, 1
+2.5825e+07ns, 1
+2.585e+07ns, 1
+2.5875e+07ns, 1
+2.59e+07ns, 1
+2.5925e+07ns, 1
+2.595e+07ns, 1
+2.5975e+07ns, 1
+2.6e+07ns, 1
+2.6025e+07ns, 1
+2.605e+07ns, 1
+2.6075e+07ns, 1
+2.61e+07ns, 1
+2.6125e+07ns, 1
+2.615e+07ns, 1
+2.6175e+07ns, 1
+2.62e+07ns, 1
+2.6225e+07ns, 1
+2.625e+07ns, 1
+2.6275e+07ns, 1
+2.63e+07ns, 1
+2.6325e+07ns, 0
+2.635e+07ns, 1
+2.6375e+07ns, 1
+2.64e+07ns, 1
+2.6425e+07ns, 1
+2.645e+07ns, 1
+2.6475e+07ns, 1
