sampleTime, isHotThroughputUtilization,queueSize
+1.59e+07ns, 0,229
+1.5925e+07ns, 0,232
+1.595e+07ns, 0,234
+1.5975e+07ns, 0,234
+1.6e+07ns, 0,234
+1.6025e+07ns, 0,235
+1.605e+07ns, 0,237
+1.6075e+07ns, 0,237
+1.61e+07ns, 0,238
+1.6125e+07ns, 0,243
+1.615e+07ns, 0,247
+1.6175e+07ns, 0,251
+1.62e+07ns, 0,252
+1.6225e+07ns, 0,254
+1.625e+07ns, 0,255
+1.6275e+07ns, 0,256
+1.63e+07ns, 0,258
+1.6325e+07ns, 0,259
+1.635e+07ns, 0,261
+1.6375e+07ns, 0,261
+1.64e+07ns, 0,268
+1.6425e+07ns, 0,276
+1.645e+07ns, 0,276
+1.6475e+07ns, 0,277
+1.65e+07ns, 0,278
+1.6525e+07ns, 0,279
+1.655e+07ns, 0,282
+1.6575e+07ns, 0,283
+1.66e+07ns, 0,285
+1.6625e+07ns, 0,287
+1.665e+07ns, 0,287
+1.6675e+07ns, 0,288
+1.67e+07ns, 0,289
+1.6725e+07ns, 0,295
+1.675e+07ns, 0,295
+1.6775e+07ns, 0,296
+1.68e+07ns, 0,297
+1.6825e+07ns, 0,299
+1.685e+07ns, 0,300
+1.6875e+07ns, 0,300
+1.69e+07ns, 0,301
+1.6925e+07ns, 0,301
+1.695e+07ns, 0,301
+1.6975e+07ns, 0,301
+1.7e+07ns, 0,301
+1.7025e+07ns, 0,301
+1.705e+07ns, 0,301
+1.7075e+07ns, 0,301
+1.71e+07ns, 0,301
+1.7125e+07ns, 0,301
+1.715e+07ns, 0,301
+1.7175e+07ns, 0,301
+1.72e+07ns, 0,301
+1.7225e+07ns, 0,301
+1.725e+07ns, 0,301
+1.7275e+07ns, 0,301
+1.73e+07ns, 0,301
+1.7325e+07ns, 0,301
+1.735e+07ns, 0,301
+1.7375e+07ns, 0,301
+1.74e+07ns, 0,301
+1.7425e+07ns, 0,301
+1.745e+07ns, 0,301
+1.7475e+07ns, 0,301
+1.75e+07ns, 0,301
+1.7525e+07ns, 0,301
+1.755e+07ns, 0,301
+1.7575e+07ns, 0,301
+1.76e+07ns, 0,301
+1.7625e+07ns, 0,301
+1.765e+07ns, 0,301
+1.7675e+07ns, 0,301
+1.77e+07ns, 0,301
+1.7725e+07ns, 0,301
+1.775e+07ns, 0,301
+1.7775e+07ns, 0,301
+1.78e+07ns, 0,301
+1.7825e+07ns, 0,301
+1.785e+07ns, 0,301
+1.7875e+07ns, 0,301
+1.79e+07ns, 0,301
+1.7925e+07ns, 0,301
+1.795e+07ns, 0,301
+1.7975e+07ns, 0,301
+1.8e+07ns, 0,301
+1.8025e+07ns, 0,301
+1.805e+07ns, 0,301
+1.8075e+07ns, 0,301
+1.81e+07ns, 0,301
+1.8125e+07ns, 0,301
+1.815e+07ns, 0,301
+1.8175e+07ns, 0,301
+1.82e+07ns, 0,301
+1.8225e+07ns, 0,301
+1.825e+07ns, 0,301
+1.8275e+07ns, 0,301
+1.83e+07ns, 0,301
+1.8325e+07ns, 0,301
+1.835e+07ns, 0,301
+1.8375e+07ns, 0,301
+1.84e+07ns, 0,301
+1.8425e+07ns, 0,301
+1.845e+07ns, 0,301
+1.8475e+07ns, 0,301
+1.85e+07ns, 0,301
+1.8525e+07ns, 0,301
+1.855e+07ns, 0,301
+1.8575e+07ns, 0,301
+1.86e+07ns, 0,301
+1.8625e+07ns, 0,301
+1.865e+07ns, 0,301
+1.8675e+07ns, 0,301
+1.87e+07ns, 0,301
+1.8725e+07ns, 0,301
+1.875e+07ns, 0,301
+1.8775e+07ns, 0,301
+1.88e+07ns, 0,301
+1.8825e+07ns, 0,301
+1.885e+07ns, 0,301
+1.8875e+07ns, 0,301
+1.89e+07ns, 0,301
+1.8925e+07ns, 0,301
+1.895e+07ns, 0,301
+1.8975e+07ns, 0,301
+1.9e+07ns, 0,301
+1.9025e+07ns, 0,301
+1.905e+07ns, 0,301
+1.9075e+07ns, 0,301
+1.91e+07ns, 0,301
+1.9125e+07ns, 0,301
+1.915e+07ns, 0,301
+1.9175e+07ns, 0,301
+1.92e+07ns, 0,301
+1.9225e+07ns, 0,301
+1.925e+07ns, 0,301
+1.9275e+07ns, 0,301
+1.93e+07ns, 0,301
+1.9325e+07ns, 0,301
